Sprite|Position|Nickname|Species|Nature|Gender|ESV|HP_Type|Ability|Move1|Move2|Move3|Move4|HeldItem|HP|ATK|DEF|SPA|SPD|SPE|MetLoc|EggLoc|Ball|OT|Version|OTLang|Legal|EC|PID|HP_IV|ATK_IV|DEF_IV|SPA_IV|SPD_IV|SPE_IV|EXP|Level|HP_EV|ATK_EV|DEF_EV|SPA_EV|SPD_EV|SPE_EV|Cool|Beauty|Cute|Smart|Tough|Sheen|Markings|NotOT|AbilityNum|GenderFlag|Form|PKRS_Strain|PKRS_Days|MetLevel|OT_Gender|FatefulFlag|IsEgg|IsNicknamed|IsShiny|TID|SID|TSV|Move1_PP|Move2_PP|Move3_PP|Move4_PP|Move1_PPUp|Move2_PPUp|Move3_PPUp|Move4_PPUp|Relearn1|Relearn2|Relearn3|Relearn4|Checksum|Friendship|Egg_Year|Egg_Month|Egg_Day|Met_Year|Met_Month|Met_Day
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [18] (DEATH)-07: 076 - TERRORIST - 8CB6B87B72DC.pk4|TERRORIST|Golem|Lonely|M|6484|Flying|Rock Head|Rock Smash|Rock Blast|Earthquake|Strength|(None)|129|110|110|59|65|54|Union Cave|(None)|Poké Ball|Nuz|HeartGold|English|False|B87B72DC|B87B72DC|28|8|28|18|20|7|56783|40|46|46|32|32|9|105|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|8|0|False|False|True|False|16959|32529|1957|15|10|10|15|0|0|0|0|(None)|(None)|(None)|(None)|36022|254|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [18] (DEATH)-08: 109 - COVID - FFC5247B0CDA.pk4|COVID|Koffing|Rash|M|1300|Steel|Levitate|Tackle|Smog|Smokescreen|Assurance|(None)|41|27|39|28|20|20|Burned Tower|(None)|Great Ball|Nuz|HeartGold|English|True|247B0CDA|247B0CDA|16|9|27|17|28|25|4096|16|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|16|0|False|False|True|False|16959|32529|1957|35|20|20|10|0|0|0|0|(None)|(None)|(None)|(None)|65477|70|1|1|1|2021|4|15
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [18] (DEATH)-09: 147 - ZOMBINI - 1AD27BC507C6.pk4|ZOMBINI|Dratini|Hardy|M|3968|Electric|Shed Skin|Twister|Dragon Rage|Slam|Agility|(None)|71|51|37|38|37|38|Dragon’s Den|(None)|Poké Ball|Nuz|HeartGold|English|True|7BC507C6|7BC507C6|29|31|23|14|11|17|31600|29|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|15|0|False|False|True|False|16959|32529|1957|20|10|20|30|0|0|0|0|(None)|(None)|(None)|(None)|6866|35|1|1|1|2021|4|18
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [18] (DEATH)-10: 130 - Carrylord - 89420A52D68A.pk4|Carrylord|Gyarados|Lax|M|7067|Psychic|Intimidate|Waterfall|Surf|Dragon Dance|Ice Fang|(None)|208|199|165|109|143|150|Violet City|(None)|Poké Ball|Nuz|HeartGold|English|True|0A52D68A|0A52D68A|5|8|31|25|9|26|383304|67|11|131|115|47|90|116|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|10|0|False|False|True|False|16959|32529|1957|15|15|20|15|0|0|0|0|(None)|(None)|(None)|(None)|35138|254|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 1: 208 - Rocky - 9809000025EF.pk4|Rocky|Steelix|Hasty|M|1213|Dragon|Sturdy|Crunch|Earthquake|Stealth Rock|Iron Tail|Quick Claw|227|142|284|94|152|72|Link trade (NPC)|(None)|Poké Ball|Rudy|HeartGold|English|True|000025EF|000025EF|25|20|25|15|15|15|359516|71|126|14|59|7|255|49|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|11|0|False|False|True|False|48926|0|6115|15|10|20|15|0|0|0|0|(None)|(None)|(None)|(None)|38921|255|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 2: 169 - Batman - B2E03EFB3A9F.pk4|Batman|Crobat|Timid|M|0140|Psychic|Inner Focus|Fly|U-turn|Poison Fang|Bite|Poison Barb|169|115|110|94|120|181|Dark Cave|(None)|Poké Ball|Nuz|HeartGold|English|True|3EFB3A9F|3EFB3A9F|21|8|9|23|25|14|163723|54|17|164|107|15|114|93|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|4|0|False|False|True|False|16959|32529|1957|15|20|15|25|0|0|0|0|(None)|(None)|(None)|(None)|45792|255|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 3: 068 - THE CHAMP - 5052EA679173.pk4|THE CHAMP|Machamp|Serious|M|3938|Ground|No Guard|Dynamic Punch|Cross Chop|Rock Slide|Poison Jab|Focus Sash|296|281|156|131|182|123|Mt. Mortar|(None)|Dusk Ball|Nuz|HeartGold|English|True|EA679173|EA679173|8|16|0|5|26|2|715816|88|153|152|51|38|24|92|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|14|0|False|False|True|False|16959|32529|1957|5|5|10|20|0|0|0|0|(None)|(None)|(None)|(None)|20562|255|1|1|1|2021|4|17
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 4: 242 - THICC - A105E4E3756E.pk4|THICC|Blissey|Relaxed|F|4657|Poison|Natural Cure|Attract|Thunderbolt|Psychic|Toxic|Leftovers|631|26|89|163|257|104|Route 15|(None)|Ultra Ball|Nuz|HeartGold|English|True|E4E3756E|E4E3756E|3|3|0|22|4|11|638805|92|252|0|254|1|0|3|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|25|0|False|False|True|False|16959|32529|1957|15|15|10|16|0|0|0|3|(None)|(None)|(None)|(None)|41221|255|1|1|1|2021|4|20
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 5: 205 - CONEHEAD - 6E81CFA90439.pk4|CONEHEAD|Forretress|Brave|F|6514|Poison|Sturdy|Reflect|Gyro Ball|Bug Bite|Light Screen|Choice Scarf|182|132|198|77|113|55|National Park|(None)|Great Ball|Nuz|HeartGold|English|True|CFA90439|CFA90439|31|17|26|8|24|3|194896|57|84|27|138|0|191|70|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|10|0|False|False|True|False|16959|32529|1957|20|5|20|30|0|0|0|0|(None)|(None)|(None)|(None)|28289|255|1|1|1|2021|4|15
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ Party: 6: 143 - POUND ME - D47254C86297.pk4|POUND ME|Snorlax|Impish|M|1739|Ground|Thick Fat|Rock Climb|Surf|Rock Smash|Strength|Silk Scarf|235|125|93|75|119|49|Route 11|(None)|Ultra Ball|Nuz|HeartGold|English|True|54C86297|54C86297|31|20|31|28|8|29|156250|50|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|50|0|False|False|True|False|16959|32529|1957|20|15|15|15|0|0|0|0|(None)|(None)|(None)|(None)|54386|155|1|1|1|2021|4|20
